champion,Matchup,Performance avg,Performance std,role,games,Matchup Role
Akali,Jayce,-30.508900134934365,73.7907927805004,TOP_LANE,52,TOP_LANE
Akali,Karma,-8.988812001505476,80.09072698685965,TOP_LANE,9,TOP_LANE
Akali,Kennen,-2.5929819781575807,98.33405657488287,TOP_LANE,36,TOP_LANE
Akali,Kled,10.666553025845447,141.77758607809906,TOP_LANE,10,TOP_LANE
Akali,LeeSin,51.172696183403076,77.33606214068516,TOP_LANE,8,TOP_LANE
Akali,Lucian,-19.777215027575405,88.96972084147323,TOP_LANE,7,TOP_LANE
Akali,MonkeyKing,-1.0349724153994717,94.68540411631174,TOP_LANE,19,TOP_LANE
Akali,Mordekaiser,4.120751260507259,95.14337185201639,TOP_LANE,9,TOP_LANE
Akali,Neeko,-7.602429251901107,113.44205662936251,TOP_LANE,12,TOP_LANE
Akali,Nocturne,7.926369492253957,107.35018467232491,TOP_LANE,19,TOP_LANE
Akali,Olaf,21.880853657873267,100.69223892179984,TOP_LANE,9,TOP_LANE
Akali,Ornn,22.469906881661718,107.67195384675733,TOP_LANE,47,TOP_LANE
Akali,Poppy,-22.949805765197233,68.28030674139633,TOP_LANE,8,TOP_LANE
Akali,Renekton,-18.852299558919977,98.89819903831065,TOP_LANE,66,TOP_LANE
Akali,Rumble,22.084700498187566,85.92936475436147,TOP_LANE,15,TOP_LANE
Akali,Ryze,14.622983060649705,80.07372442220884,TOP_LANE,9,TOP_LANE
Akali,Sejuani,-32.29309941281595,70.69411032411627,TOP_LANE,7,TOP_LANE
Akali,Sett,10.19377963487641,91.11833752342751,TOP_LANE,34,TOP_LANE
Akali,Shen,66.98718809594052,103.38291024082719,TOP_LANE,10,TOP_LANE
Akali,Sion,20.150900082132146,114.09914356861638,TOP_LANE,27,TOP_LANE
Akali,Sylas,-48.01830511124324,97.6847095829924,TOP_LANE,19,TOP_LANE
Akali,Tryndamere,-3.502874622689349,88.98108759331622,TOP_LANE,11,TOP_LANE
Akali,Urgot,-7.221643422232228,105.88859064954784,TOP_LANE,27,TOP_LANE
Akali,Viego,5.730587267211311,106.55991550780328,TOP_LANE,13,TOP_LANE
Akali,Vladimir,36.18501033994746,101.68560676119614,TOP_LANE,12,TOP_LANE
Akshan,Fiora,-19.048731720171123,91.11664336030934,MID_LANE,7,TOP_LANE
Akshan,Gnar,38.712365188021,131.6152500376953,MID_LANE,8,TOP_LANE
Akshan,Gwen,40.27706280205231,83.84055414755265,MID_LANE,9,TOP_LANE
Akshan,Jayce,1.296170764791674,129.0268767483854,MID_LANE,6,TOP_LANE
Akshan,Ornn,53.2518578518672,95.36840679737665,MID_LANE,7,TOP_LANE
Akshan,Renekton,-55.539888101790496,68.56895813574565,MID_LANE,8,TOP_LANE
Akshan,Camille,41.186217991384694,76.54893965986702,TOP_LANE,7,TOP_LANE
Akshan,Fiora,103.47902919371803,70.67541586485046,TOP_LANE,6,TOP_LANE
Akshan,Gangplank,-27.205629329677013,83.76446064144085,TOP_LANE,10,TOP_LANE
